met type,date,mean/sum,min,max,%complete,comments
Air Temperature,25/09/2010,8.1,4.43,12.26,100,
Air Temperature,26/09/2010,9.15,5.9,12.17,100,
Air Temperature,27/09/2010,11.92,9.37,14.52,100,
Air Temperature,28/09/2010,13.44,12.5,15.1,97,
Air Temperature,29/09/2010,13.17,10.14,15.03,100,
Air Temperature,30/09/2010,11.36,7.21,14.96,100,
Air Temperature,01/10/2010,13.48,11.37,15.52,100,
Air Temperature,02/10/2010,11.48,7.58,14.24,100,
Air Temperature,03/10/2010,13.81,11.45,15.82,100,
Air Temperature,04/10/2010,12.73,10.92,15.82,100,
Air Temperature,05/10/2010,14.42,11.12,16.68,100,
Air Temperature,06/10/2010,13.03,9.92,16.17,100,
Air Temperature,07/10/2010,12.21,7.45,16.55,100,
Air Temperature,08/10/2010,16.16,13.89,20.8,100,
Air Temperature,09/10/2010,14.92,13.6,17.38,100,
Air Temperature,10/10/2010,14.76,10.22,19.37,100,
Air Temperature,11/10/2010,12.56,9.49,17.05,100,
Air Temperature,12/10/2010,10.57,7.92,13.83,100,
Air Temperature,13/10/2010,9.17,7.11,11.03,100,
Air Temperature,14/10/2010,9.18,7.87,11.56,100,
Air Temperature,15/10/2010,9.67,7.64,11.63,100,
Air Temperature,16/10/2010,7.7,3.99,12.1,100,
Air Temperature,17/10/2010,6.51,2.35,11.86,100,
Air Temperature,18/10/2010,9.52,4.84,13.6,100,
Air Temperature,19/10/2010,8.77,4.78,12,100,
Air Temperature,20/10/2010,4.9,2.73,7.88,100,
Air Temperature,21/10/2010,6.81,2.69,11.23,100,
Air Temperature,22/10/2010,8.84,5.46,12.66,100,
Air Temperature,23/10/2010,8.8,5.17,10.84,100,
Air Temperature,24/10/2010,5.59,3.19,9.53,100,
Air Temperature,25/10/2010,4.72,1.07,9.6,100,
Air Temperature,26/10/2010,8.79,2.42,12.28,100,
Air Temperature,27/10/2010,12.39,10.09,14.71,100,
Air Temperature,28/10/2010,12.39,10.13,14.3,100,
Air Temperature,29/10/2010,11.73,9.85,13.2,100,
Air Temperature,30/10/2010,10.22,7.66,12.25,100,
Air Temperature,31/10/2010,9.94,8.41,10.82,100,
Air Temperature,01/11/2010,9.56,7.68,12.07,100,
Air Temperature,02/11/2010,12.39,10.84,14.05,100,
Air Temperature,03/11/2010,13.73,12.4,14.91,100,
Air Temperature,04/11/2010,14.07,13.42,14.77,100,
